timestamp,open,high,low,close,volume
1584921600000,6500,6838,5858,5873,125788078.444
1585526400000,5873,7230.5,5841.5,6771,772774230
1586131200000,6771,7458.5,6741.5,6901,770269048.1189998
1586736000000,6901,7289,6465.5,7118.5,814362849.3609998
1587340800000,7118.5,7743.5,6750,7691.5,852201770.9559999
1587945600000,7691.5,9458,7624,8895,1417003849.74
1588550400000,8895,10059.5,8153,8725,2001656659.1
1589155200000,8725,9940,8182,9675,1433378997.9
1589760000000,9675,9957.5,8690,8710,888900504.57
1590364800000,8710,9735,8640.5,9449.5,726723322.5959998
1590969600000,9449.5,10352,9288,9741,692279193.636
1591574400000,9741,9995,9100.5,9340,464274242.42
1592179200000,9340,9584.5,8906.5,9295,448687226.845
1592784000000,9295,9782,8840,9120,535658986.5582672
1593388800000,9120,9289,8910,9074,389003232.95200735
1593993600000,9074,9466.5,9063,9295,433923773.85379165
1594598400000,9295,9335.5,9045.5,9203,368854592.663
1595203200000,9203,10138,9134,9922.5,625443662.4975
1595808000000,9922.5,12113.5,9922.5,11073,1937361733.494
1596412800000,11073,11916.5,10943.5,11686.5,812652588.153
1597017600000,11686.5,12063,11144,11914.5,1258566523.11
1597622400000,11914.5,12499.5,11391,11660,780513660.52
1598227200000,11660,11826,11125,11710,445830403.62
1598832000000,11710,12066,9834,10255.5,744824947.329
1599436800000,10255.5,10572.5,9838,10320,373542018.24
1600041600000,10320,11168,10250,10912,352238585.248
1600646400000,10912,10977,10140,10770,392755998.15
1601251200000,10770,10951.5,10392,10666,336852694.724
1601856000000,10666,11490,10531,11374,430473973.182
1602460800000,11374,11729,11200,11492,419942904.94
1603065600000,11492,13360,11406.5,13024.5,1005721295.4495
1603670400000,13024.5,14120,12769,13750,1352068547.5
1604275200000,13750,15976,13207,15481.5,2292868917.774
1604880000000,15481.5,16464.5,14825,15939.5,2155427048.524
1605484800000,15939.5,18981.5,15866,18421.5,4081533175.8045
1606089600000,18421.5,19531,16202,18179,3682000437.822
1606694400000,18179,19948,18090.5,19366,3006062425.958
1607299200000,19366,19431,17567,19177,2179463288.512
1607904000000,19177,24344,19017.5,23468.5,4454679311.9675
1608508800000,23468.5,28468,21959,26266.5,5287258014.129
1609113600000,26266.5,34820,25930,32963,6787003149.171
1609718400000,32963,42100,27923,38169.5,10650896672.56
1610323200000,38169.5,40076,30427,35871.5,9902854455.592
1610928000000,35871.5,37920,28913.5,32224.5,5494456547.118
1611532800000,32224.5,38632,29273,33128,8877094066.055998
1612137600000,33128,40950,32344.5,38825.5,6654715587.1455
1612742400000,38825.5,49834,38061,48689.5,10642615374.898
