timestamp,open,high,low,close,volume
1649721600000,39500,40713,39216,40055,4165433000
1649808000000,40055,41553,39580,41137,3985632720
1649894400000,41137,41463,39521,39930,3257803578
1649980800000,39930,40849,39746,40528,2279324190
1650067200000,40528,40695,39972,40358,1570014192
1650153600000,40358,40562,39520,39662,1866517142
1650240000000,39662,41255,38466,40774,4340410970
1650326400000,40774,41770,40533,41466,2648393622
1650412800000,41466,42169,40867,41334,3067696146
1650499200000,41334,42950,39588,40454,4854678300
1650585600000,40454,40767,39007,39676,3780345392
1650672000000,39676,40048,39261,39422,1410362772
1650758400000,39422,39914,38831,39440,2072099164
1650844800000,39440,40673,38072,40400,5558358080
1650931200000,40400,40803,37668,38104,5656040400
1651017600000,38104,39479,37855,39206,4260141512
1651104000000,39206,40350,38864,39734,5053849430
1651190400000,39734,39909,38162,38572,3783113874
1651276800000,38572,38770,37558,37612,1978705028
1651363200000,37612,38663,37351,38446,2684669336
1651449600000,38446,39256,38005,38528,3860747320
1651536000000,38528,38630,37500,37734,2669990400
1651622400000,37734,40058,37660,39696,4863157920
1651708800000,39696,39840,35511,36526,6879832848
1651795200000,36526,36666,35200,35990,4784906000
1651881600000,35990,36135,34744,35462,2123338020
1651968000000,35462,35498,33666,34032,4591477912
1652054400000,34032,34258,30018,30064,11864235840
1652140800000,30064,32666,29711,31015,7945103472
1652227200000,31015,32230,27600,29068,12073550215
1652313600000,29068,30233,26536,29003,9011341612
1652400000000,29003,31049,28736,29268,3986781383
1652486400000,29268,30321,28598,30071,2993823720
1652572800000,30071,31518,29409,31316,3117520712
1652659200000,31316,31316,29050,29854,4734008404
1652745600000,29854,30785,29400,30424,3580360366
1652832000000,30424,30692,28633,28694,3916298976
1652918400000,28694,30551,28676,30310,3779171964
1653004800000,30310,30767,28708,29185,4312597730
1653091200000,29185,29654,28920,29420,1716136370
1653177600000,29420,30499,29220,30270,2754182720
1653264000000,30270,30654,28839,29092,4388938110
1653350400000,29092,29847,28659,29642,3390527140
1653436800000,29642,30213,29324,29542,3680647140
1653523200000,29542,29878,27950,29201,6187217396
1653609600000,29201,29381,28256,28619,6891932417
1653696000000,28619,29260,28522,29018,1640956222
1653782400000,29018,29592,28838,29452,1887736972
1653868800000,29452,32333,29289,31732,4751874036
1653955200000,31732,32450,31216,31781,3477414684
1654041600000,31781,31982,29291,29789,5318041854
1654128000000,29789,30711,29558,30450,3160702267
1654214400000,30450,30698,29250,29688,3258393600
1654300800000,29688,30000,29466,29857,1584329808
1654387200000,29857,30196,29510,29902,1900368193
1654473600000,29902,31750,29871,31370,4801932278
1654560000000,31370,31598,29120,31111,7674858720
1654646400000,31111,31320,29818,30192,4842333817
1654732800000,30192,30694,29896,30100,3241503696
1654819200000,30100,30376,28816,29080,5066221300
1654905600000,29080,29427,28035,28420,4108742280
1654992000000,28420,28532,26550,26568,5937421140
1655078400000,26568,26885,21910,22476,14999814576
1655164800000,22476,23450,20818,22128,9513753660
1655251200000,22128,22794,20071,22574,11719342848
1655337600000,22574,22976,20228,20385,5479409594
1655424000000,20385,21355,20230,20454,4277282625
1655510400000,20454,20770,17600,18964,8011381812
1655596800000,18964,20820,17953,20568,7049601504
1655683200000,20568,21125,19624,20568,6220133424
1655769600000,20568,21722,20336,20716,5078136360
1655856000000,20716,20886,19703,19980,5600259860
1655942400000,19980,21240,19862,21095,4391264340
1656028800000,21095,21556,20728,21232,4636132530
1656115200000,21232,21630,20900,21476,3032375472
1656201600000,21476,21880,20958,21032,3128323016
1656288000000,21032,21580,20500,20730,3884673496
1656374400000,20730,21198,20190,20274,4197161640
1656460800000,20274,20433,19820,20104,4142018748
1656547200000,20104,20156,18601,19926,6272488208
1656633600000,19926,21018,18938,19271,6249411306
1656720000000,19271,19450,18960,19246,2443794052
1656806400000,19246,19638,18777,19306,2916057690
1656892800000,19306,20370,19039,20220,4220986616
1656979200000,20220,20750,19262,20170,6493369920
1657065600000,20170,20666,19737,20556,4305669730
1657152000000,20556,21818,20248,21596,4831996140
1657238400000,21596,22600,21184,21590,6249364096
1657324800000,21590,21980,21310,21588,2620637380
1657411200000,21588,21598,20652,20849,3464507004
1657497600000,20849,20851,19855,19960,3837029111
1657584000000,19960,20046,19220,19324,4187388440
1657670400000,19324,20346,18868,20216,5898708972
1657756800000,20216,20899,19575,20583,5047975632
1657843200000,20583,21196,20365,20822,4113471384
1657929600000,20822,21576,20470,21190,3202985794
1658016000000,21190,21669,20745,20799,2953589340
1658102400000,20799,22780,20763,22423,6268527414
1658188800000,22423,23808,21582,23386,7833519896
1658275200000,23386,24277,22872,23220,7241778918
1658361600000,23220,23428,22346,23144,5095698660
1658448000000,23144,23765,22487,22676,4548559752
1658534400000,22676,22988,21937,22434,3273484684
1658620800000,22434,22990,22254,22574,3022173876
1658707200000,22574,22658,21233,21301,4519472818
1658793600000,21301,21336,20691,21232,3445159837
1658880000000,21232,23105,21040,22938,4763632752
1658966400000,22938,24198,22582,23839,5363340222
1659052800000,23839,24475,23418,23764,4477393302
1659139200000,23764,24695,23506,23630,3282663904
1659225600000,23630,24182,23224,23290,2593510650
1659312000000,23290,23490,22825,23250,3360933320
1659398400000,23250,23468,22640,22972,3969681750
1659484800000,22972,23655,22680,22813,3542029708
1659571200000,22813,23201,22350,22602,3670201066
1659657600000,22602,23494,22576,23298,3895703322
1659744000000,23298,23333,22894,22950,1383202260
1659830400000,22950,23388,22846,23167,1678608900
1659916800000,23167,24236,23146,23810,3534288019
1660003200000,23810,23910,22848,23139,3145634340
1660089600000,23139,24223,22521,23940,4858935471
1660176000000,23940,24950,23850,23927,5020912260
1660262400000,23927,24430,23557,24378,3192388194
1660348800000,24378,24867,24283,24420,2721535542
1660435200000,24420,25031,24109,24290,3017139840
1660521600000,24290,25199,23760,24080,5234179230
1660608000000,24080,24227,23665,23839,3065865600
1660694400000,23839,24436,23166,23327,4447189289
1660780800000,23327,23581,23100,23188,2238808825
1660867200000,23188,23198,20754,20819,7241797904
1660953600000,20819,21365,20730,21124,3193863609
1661040000000,21124,21780,21060,21506,2840290792
1661126400000,21506,21538,20858,21382,3929382766
